,frame,image_id,colony_area,cell_count,cell_area,cell_length,medium
187,27,979,42351.44024502481,96,32759.5,3176.806313713072,Acetate-MOPS
188,28,979,48120.43570611016,108,37127.5,3626.4268424550396,Acetate-MOPS
189,29,979,54163.22978921458,121,42099.5,4105.144342114059,Acetate-MOPS
190,30,979,62376.60035035848,140,48041.0,4693.130716671075,Acetate-MOPS
191,31,979,70795.57270751329,166,54972.0,5369.66452414075,Acetate-MOPS
192,32,979,80317.94510802865,186,62273.0,6097.398988447177,Acetate-MOPS
193,33,979,91210.40807918936,202,70466.0,6876.527027897599,Acetate-MOPS
194,34,979,104359.16999504536,227,80498.0,7842.270285307788,Acetate-MOPS
195,35,979,119368.71747112348,259,92073.5,8996.797952632283,Acetate-MOPS
196,36,979,137933.8105162527,302,105011.5,10294.406274006895,Acetate-MOPS
197,37,979,159709.9751657166,352,120723.5,11842.844838908077,Acetate-MOPS
198,38,979,179674.73561413173,403,137784.5,13581.939534977888,Acetate-MOPS
199,39,979,203950.56612027076,460,157755.0,15597.390875864985,Acetate-MOPS
200,0,980,4132.452071210602,11,3324.0,296.785793507725,Acetate-MOPS
201,1,980,4566.8309978554025,11,3687.0,326.9558218539289,Acetate-MOPS
202,2,980,4957.735044993286,12,4111.5,372.71164694352393,Acetate-MOPS
203,3,980,5382.638099341537,12,4525.5,409.8567755907193,Acetate-MOPS
204,4,980,5928.537558999728,12,4959.5,448.58064110641453,Acetate-MOPS
205,5,980,6591.09268973599,12,5459.5,493.0985310438944,Acetate-MOPS
206,6,980,7709.177746414032,20,6302.5,590.9704038400461,Acetate-MOPS
207,7,980,8737.316927296284,23,6989.0,657.1318009183613,Acetate-MOPS
208,8,980,10269.344498188932,24,7846.0,734.5098985282148,Acetate-MOPS
209,9,980,11047.026431640144,24,8578.0,801.5948495223025,Acetate-MOPS
210,10,980,12587.674214713625,25,9582.0,885.4284507890819,Acetate-MOPS
211,11,980,13565.312897130498,27,10436.5,974.5140355355353,Acetate-MOPS
212,12,980,15638.903831944916,33,11814.0,1103.6450606815736,Acetate-MOPS
213,13,980,17841.32421456132,40,13347.5,1252.680581089848,Acetate-MOPS
214,14,980,19517.33076096477,46,14922.0,1411.8749912935914,Acetate-MOPS
215,15,980,21427.13407889678,48,16518.5,1562.4190292230612,Acetate-MOPS
216,16,980,24188.706611868285,51,18421.0,1742.1366863157139,Acetate-MOPS
217,17,980,26613.88615964778,52,20398.0,1922.276190897726,Acetate-MOPS
218,18,980,30211.468919154024,64,23049.0,2185.368932405639,Acetate-MOPS
219,19,980,35370.165777057526,81,26373.5,2511.250972616341,Acetate-MOPS
220,20,980,39213.16426358128,91,29700.0,2840.0291253959263,Acetate-MOPS
221,21,980,43375.50144876895,95,33154.5,3178.521838438464,Acetate-MOPS
222,22,980,48492.45529231938,101,37312.5,3560.8782616016215,Acetate-MOPS
223,23,980,53902.97486408919,109,41727.0,3972.952066050596,Acetate-MOPS
224,24,980,63270.14532126428,132,47668.5,4533.585915257798,Acetate-MOPS
225,25,980,71393.02295989168,159,54099.0,5188.08114106813,Acetate-MOPS
226,26,980,79990.94256788024,182,61347.0,5892.40758247158,Acetate-MOPS
227,27,980,88082.73470137418,196,69192.5,6653.192966848605,Acetate-MOPS
228,28,980,99067.14388036604,215,79077.0,7522.124633511507,Acetate-MOPS
229,29,980,110101.14542314786,238,89044.0,8508.200046960705,Acetate-MOPS
230,30,980,125870.74517591836,297,101651.5,9867.555941145603,Acetate-MOPS
231,31,980,143672.91807698258,345,116350.0,11301.31125650343,Acetate-MOPS
232,32,980,162938.83307033783,376,132457.5,12770.636885087051,Acetate-MOPS
233,33,980,185289.553447805,415,148633.5,14474.65649633607,Acetate-MOPS
234,34,980,208035.8164184435,476,166345.5,16452.115806086156,Acetate-MOPS
235,35,980,235358.1934535041,556,187829.5,18760.1843437024,Acetate-MOPS
236,36,980,260391.3505063948,653,209998.0,21310.789687098884,Acetate-MOPS
237,37,980,270323.10553975723,692,223134.5,23045.916548744615,Acetate-MOPS
238,38,980,270311.0591368535,693,223459.5,23459.290961308434,Acetate-MOPS
239,39,980,269771.65998450574,700,223431.0,23460.224463525537,Acetate-MOPS
